model_id,auc,logloss,mean_per_class_error,rmse,mse
GLM_grid_1_AutoML_20190426_001455_model_1,0.7037050422028931,0.4259087150448904,0.4668125167719976,0.36364719295443865,0.1322392809436427
GBM_grid_1_AutoML_20190426_001455_model_8,0.6965476061636592,0.4457783823632574,0.4719428841544323,0.3730182828780067,0.13914263936125665
GBM_grid_1_AutoML_20190426_001455_model_7,0.6946356648772646,0.4288586870354247,0.4722091769926605,0.3649972012895917,0.13322295694923472
GBM_grid_1_AutoML_20190426_001455_model_10,0.6909286893170979,0.4299035421066508,0.4691679944934829,0.3653896644166114,0.1335096068624839
GBM_grid_1_AutoML_20190426_001455_model_11,0.6858518372420715,0.43663504808623343,0.47341906654913296,0.3685521606836023,0.13583069514455182
GBM_grid_1_AutoML_20190426_001455_model_1,0.6811180807325609,0.4337084658114638,0.4788033268146642,0.3669082092727921,0.13462163403176702
XRT_1_AutoML_20190426_001455,0.6806294545479076,0.4380745451216634,0.4689412031364513,0.3683129752410272,0.1356544477308975
DRF_1_AutoML_20190426_001455,0.678925010776083,0.46811284117083296,0.4773715738249927,0.36830370540276297,0.13564761941340525
GBM_grid_1_AutoML_20190426_001455_model_13,0.6701989660275972,0.4650576220831011,0.4793160405046898,0.3811073452290633,0.14524280858754446
GBM_grid_1_AutoML_20190426_001455_model_5,0.6660289505784396,0.4422236544327847,0.48537901849994397,0.3711248379803869,0.13773364536596844
GBM_5_AutoML_20190426_001455,0.6646963944898024,0.44908700199269946,0.4759865929564343,0.3718225614467861,0.13825201720084904
GBM_2_AutoML_20190426_001455,0.6639279356639637,0.4463012988110247,0.4842675600092479,0.3715302726491871,0.1380347434947793
GBM_3_AutoML_20190426_001455,0.6634464581883898,0.4470829758343116,0.4813622098326244,0.3715928261578344,0.13808122845196655
GBM_grid_1_AutoML_20190426_001455_model_12,0.6628098408477061,0.4566153238927843,0.4824402250237162,0.3729876534177457,0.13911978960207633
GBM_1_AutoML_20190426_001455,0.6625334250099787,0.4462033159051243,0.4877627691055361,0.3715909591120564,0.138079840893818
GBM_grid_1_AutoML_20190426_001455_model_2,0.656374240844223,0.4536744523920332,0.4872944848205397,0.373996438125871,0.1398733357308385
GBM_grid_1_AutoML_20190426_001455_model_3,0.6562506550357471,0.450135342371002,0.4863665596398878,0.373013998681696,0.13913944321250826
GBM_grid_1_AutoML_20190426_001455_model_4,0.6519308783784069,0.4634414476848524,0.4800253738346035,0.3751740554406523,0.14075557187578566
GBM_4_AutoML_20190426_001455,0.6492681034371788,0.4643213482012555,0.4903225809898733,0.3766714168237478,0.14188135625200954
GBM_grid_1_AutoML_20190426_001455_model_9,0.6487795991833626,0.4646529472091702,0.49217071682821295,0.3765609302508094,0.14179813419135495
GBM_grid_1_AutoML_20190426_001455_model_6,0.614152827913957,0.7186100273975273,0.4966946248870133,0.4175431132012949,0.1743422513818293
